id,dt,target
00037f39cf,1,0.0
00037f39cf,2,0.0
00037f39cf,3,0.0
00037f39cf,4,0.0
00037f39cf,5,0.0
00037f39cf,6,0.0
00037f39cf,7,0.0
00037f39cf,8,0.0
00037f39cf,9,0.0
00037f39cf,10,0.0
00039a1517,1,0.0
00039a1517,2,0.0
00039a1517,3,0.0
00039a1517,4,0.0
00039a1517,5,0.0
00039a1517,6,0.0
00039a1517,7,0.0
00039a1517,8,0.0
00039a1517,9,0.0
00039a1517,10,0.0
000c15d0ea,1,0.0
000c15d0ea,2,0.0
000c15d0ea,3,0.0
000c15d0ea,4,0.0
000c15d0ea,5,0.0
000c15d0ea,6,0.0
000c15d0ea,7,0.0
000c15d0ea,8,0.0
000c15d0ea,9,0.0
000c15d0ea,10,0.0
00150bc11a,1,0.0
00150bc11a,2,0.0
00150bc11a,3,0.0
00150bc11a,4,0.0
00150bc11a,5,0.0
00150bc11a,6,0.0
00150bc11a,7,0.0
00150bc11a,8,0.0
00150bc11a,9,0.0
00150bc11a,10,0.0
0038d86077,1,0.0
0038d86077,2,0.0
0038d86077,3,0.0
0038d86077,4,0.0
0038d86077,5,0.0
0038d86077,6,0.0
0038d86077,7,0.0
0038d86077,8,0.0
0038d86077,9,0.0
0038d86077,10,0.0
00431bea7c,1,0.0
00431bea7c,2,0.0
00431bea7c,3,0.0
00431bea7c,4,0.0
00431bea7c,5,0.0
00431bea7c,6,0.0
00431bea7c,7,0.0
00431bea7c,8,0.0
00431bea7c,9,0.0
00431bea7c,10,0.0
00476816e4,1,0.0
00476816e4,2,0.0
00476816e4,3,0.0
00476816e4,4,0.0
00476816e4,5,0.0
00476816e4,6,0.0
00476816e4,7,0.0
00476816e4,8,0.0
00476816e4,9,0.0
00476816e4,10,0.0
005fc4185b,1,0.0
005fc4185b,2,0.0
005fc4185b,3,0.0
005fc4185b,4,0.0
005fc4185b,5,0.0
005fc4185b,6,0.0
005fc4185b,7,0.0
005fc4185b,8,0.0
005fc4185b,9,0.0
005fc4185b,10,0.0
00603386e3,1,0.0
00603386e3,2,0.0
00603386e3,3,0.0
00603386e3,4,0.0
00603386e3,5,0.0
00603386e3,6,0.0
00603386e3,7,0.0
00603386e3,8,0.0
00603386e3,9,0.0
00603386e3,10,0.0
00629d85f8,1,0.0
00629d85f8,2,0.0
00629d85f8,3,0.0
00629d85f8,4,0.0
00629d85f8,5,0.0
00629d85f8,6,0.0
00629d85f8,7,0.0
00629d85f8,8,0.0
00629d85f8,9,0.0
00629d85f8,10,0.0
0068ddd8e4,1,0.0
0068ddd8e4,2,0.0
0068ddd8e4,3,0.0
0068ddd8e4,4,0.0
0068ddd8e4,5,0.0
0068ddd8e4,6,0.0
0068ddd8e4,7,0.0
0068ddd8e4,8,0.0
0068ddd8e4,9,0.0
0068ddd8e4,10,0.0
007d45c89d,1,0.0
007d45c89d,2,0.0
007d45c89d,3,0.0
007d45c89d,4,0.0
007d45c89d,5,0.0
007d45c89d,6,0.0
007d45c89d,7,0.0
007d45c89d,8,0.0
007d45c89d,9,0.0
007d45c89d,10,0.0
0087cf99a4,1,0.0
0087cf99a4,2,0.0
0087cf99a4,3,0.0
0087cf99a4,4,0.0
0087cf99a4,5,0.0
0087cf99a4,6,0.0
0087cf99a4,7,0.0
0087cf99a4,8,0.0
0087cf99a4,9,0.0
0087cf99a4,10,0.0
0095046d02,1,0.0
0095046d02,2,0.0
0095046d02,3,0.0
0095046d02,4,0.0
0095046d02,5,0.0
0095046d02,6,0.0
0095046d02,7,0.0
0095046d02,8,0.0
0095046d02,9,0.0
0095046d02,10,0.0
00a34678bb,1,0.0
00a34678bb,2,0.0
00a34678bb,3,0.0
00a34678bb,4,0.0
00a34678bb,5,0.0
00a34678bb,6,0.0
00a34678bb,7,0.0
00a34678bb,8,0.0
00a34678bb,9,0.0
00a34678bb,10,0.0
00b8f2fdf1,1,0.0
00b8f2fdf1,2,0.0
00b8f2fdf1,3,0.0
