id,dt,target
00037f39cf,1,39.6543
00037f39cf,2,39.6543
00037f39cf,3,39.6543
00037f39cf,4,39.6543
00037f39cf,5,39.6543
00037f39cf,6,39.6543
00037f39cf,7,39.6543
00037f39cf,8,39.6543
00037f39cf,9,39.6543
00037f39cf,10,39.6543
00039a1517,1,49.1805
00039a1517,2,49.1805
00039a1517,3,49.1805
00039a1517,4,49.1805
00039a1517,5,49.1805
00039a1517,6,49.1805
00039a1517,7,49.1805
00039a1517,8,49.1805
00039a1517,9,49.1805
00039a1517,10,49.1805
000c15d0ea,1,26.7723
000c15d0ea,2,26.7723
000c15d0ea,3,26.7723
000c15d0ea,4,26.7723
000c15d0ea,5,26.7723
000c15d0ea,6,26.7723
000c15d0ea,7,26.7723
000c15d0ea,8,26.7723
000c15d0ea,9,26.7723
000c15d0ea,10,26.7723
00150bc11a,1,30.7137
00150bc11a,2,30.7137
00150bc11a,3,30.7137
00150bc11a,4,30.7137
00150bc11a,5,30.7137
00150bc11a,6,30.7137
00150bc11a,7,30.7137
00150bc11a,8,30.7137
00150bc11a,9,30.7137
00150bc11a,10,30.7137
0038d86077,1,10.7277
0038d86077,2,10.7277
0038d86077,3,10.7277
0038d86077,4,10.7277
0038d86077,5,10.7277
0038d86077,6,10.7277
0038d86077,7,10.7277
0038d86077,8,10.7277
0038d86077,9,10.7277
0038d86077,10,10.7277
00431bea7c,1,22.6067
00431bea7c,2,22.6067
00431bea7c,3,22.6067
00431bea7c,4,22.6067
00431bea7c,5,22.6067
00431bea7c,6,22.6067
00431bea7c,7,22.6067
00431bea7c,8,22.6067
00431bea7c,9,22.6067
00431bea7c,10,22.6067
00476816e4,1,34.492000000000004
00476816e4,2,34.492000000000004
00476816e4,3,34.492000000000004
00476816e4,4,34.492000000000004
00476816e4,5,34.492000000000004
00476816e4,6,34.492000000000004
00476816e4,7,34.492000000000004
00476816e4,8,34.492000000000004
00476816e4,9,34.492000000000004
00476816e4,10,34.492000000000004
005fc4185b,1,16.663800000000002
005fc4185b,2,16.663800000000002
005fc4185b,3,16.663800000000002
005fc4185b,4,16.663800000000002
005fc4185b,5,16.663800000000002
005fc4185b,6,16.663800000000002
005fc4185b,7,16.663800000000002
005fc4185b,8,16.663800000000002
005fc4185b,9,16.663800000000002
005fc4185b,10,16.663800000000002
00603386e3,1,17.523
00603386e3,2,17.523
00603386e3,3,17.523
00603386e3,4,17.523
00603386e3,5,17.523
00603386e3,6,17.523
00603386e3,7,17.523
00603386e3,8,17.523
00603386e3,9,17.523
00603386e3,10,17.523
00629d85f8,1,42.7185
00629d85f8,2,42.7185
00629d85f8,3,42.7185
00629d85f8,4,42.7185
00629d85f8,5,42.7185
00629d85f8,6,42.7185
00629d85f8,7,42.7185
00629d85f8,8,42.7185
00629d85f8,9,42.7185
00629d85f8,10,42.7185
0068ddd8e4,1,17.419900000000002
0068ddd8e4,2,17.419900000000002
0068ddd8e4,3,17.419900000000002
0068ddd8e4,4,17.419900000000002
0068ddd8e4,5,17.419900000000002
0068ddd8e4,6,17.419900000000002
0068ddd8e4,7,17.419900000000002
0068ddd8e4,8,17.419900000000002
0068ddd8e4,9,17.419900000000002
0068ddd8e4,10,17.419900000000002
007d45c89d,1,1.4615
007d45c89d,2,1.4615
007d45c89d,3,1.4615
007d45c89d,4,1.4615
007d45c89d,5,1.4615
007d45c89d,6,1.4615
007d45c89d,7,1.4615
007d45c89d,8,1.4615
007d45c89d,9,1.4615
007d45c89d,10,1.4615
0087cf99a4,1,21.7209
0087cf99a4,2,21.7209
0087cf99a4,3,21.7209
0087cf99a4,4,21.7209
0087cf99a4,5,21.7209
0087cf99a4,6,21.7209
0087cf99a4,7,21.7209
0087cf99a4,8,21.7209
0087cf99a4,9,21.7209
0087cf99a4,10,21.7209
0095046d02,1,25.2168
0095046d02,2,25.2168
0095046d02,3,25.2168
0095046d02,4,25.2168
0095046d02,5,25.2168
0095046d02,6,25.2168
0095046d02,7,25.2168
0095046d02,8,25.2168
0095046d02,9,25.2168
0095046d02,10,25.2168
00a34678bb,1,8.8459
00a34678bb,2,8.8459
00a34678bb,3,8.8459
00a34678bb,4,8.8459
00a34678bb,5,8.8459
00a34678bb,6,8.8459
00a34678bb,7,8.8459
00a34678bb,8,8.8459
00a34678bb,9,8.8459
00a34678bb,10,8.8459
00b8f2fdf1,1,26.918599999999998
00b8f2fdf1,2,26.918599999999998
00b8f2fdf1,3,26.918599999999998
00b8f2fdf1,4,26.918599999999998
00b8f2fdf1,5,26.918599999999998
00b8f2fdf1,6,26.918599999999998
00b8f2fdf1,7,26.918599999999998
00b8f2fdf1,8,26.918599999999998
00b8f2fdf1,9,26.918599999999998
00b8f2fdf1,10,26.918599999999998
00bfd66f47,1,157.3779
00bfd66f47,2,157.3779
